policy_id,agent_id,product_id,issue_date_key,renewal_due_date_key,renewal_status,premium_usd
1,2,6,20231202,20241201,renewed,5229.99
2,2,5,20240128,20250127,lapsed,1056.94
3,2,3,20231001,20240930,renewed,2006.16
4,2,4,20240106,20250105,renewed,1888.7
5,2,6,20240612,20250612,grace,6797.62
6,2,4,20230603,20240602,lapsed,2973.55
7,2,4,20230405,20240404,lapsed,595.76
8,2,1,20240402,20250402,renewed,2911.37
9,2,5,20230221,20240221,renewed,989.44
10,2,3,20240713,20250713,lapsed,2938.35
11,2,1,20230717,20240716,lapsed,467.51
12,2,1,20240317,20250317,lapsed,1215.83
13,2,3,20230418,20240417,lapsed,586.2
14,2,1,20230708,20240707,lapsed,3011.71
15,2,6,20240211,20250210,renewed,6338.1
16,2,6,20240710,20250710,lapsed,6222.36
17,2,1,20240811,20250811,renewed,1056.07
18,2,4,20231203,20241202,renewed,288.45
19,2,5,20230828,20240827,lapsed,754.9
20,2,6,20240715,20250715,lapsed,4578.23
21,2,2,20230128,20240128,renewed,864.71
22,2,4,20230517,20240516,renewed,2663.23
23,2,2,20231031,20241030,renewed,1092.26
24,2,2,20240816,20250816,renewed,4056.5
25,2,5,20241002,20251002,renewed,195.99
26,2,5,20240703,20250703,lapsed,602.74
27,2,4,20231203,20241202,renewed,784.08
28,2,2,20240226,20250225,renewed,2185.92
29,2,4,20230202,20240202,renewed,2590.5
30,2,3,20230725,20240724,renewed,2325.64
31,2,6,20230611,20240610,renewed,1324.46
32,2,1,20230423,20240422,renewed,603.96
33,2,1,20240907,20250907,grace,4420.18
34,2,4,20230731,20240730,renewed,383.71
35,2,5,20241106,20251106,grace,834.99
36,2,1,20241122,20251122,lapsed,3929.7
37,2,2,20230512,20240511,grace,4570.88
38,2,2,20240711,20250711,renewed,1002.72
39,2,5,20240816,20250816,lapsed,374.72
40,2,1,20240515,20250515,renewed,1191.11
41,2,4,20230125,20240125,renewed,813.19
42,2,4,20240929,20250929,renewed,1139.86
43,2,5,20240422,20250422,renewed,337.33
44,2,4,20240910,20250910,lapsed,1241.71
45,2,6,20240126,20250125,renewed,3908.63
46,2,4,20230830,20240829,grace,799.54
47,2,3,20230719,20240718,lapsed,2901.94
48,2,6,20240421,20250421,renewed,2588.77
49,2,1,20230309,20240308,renewed,2060.0
50,2,5,20240925,20250925,renewed,855.03
51,2,6,20240301,20250301,grace,4509.64
52,2,1,20240612,20250612,renewed,1916.49
53,2,2,20240115,20250114,renewed,1853.64
54,2,2,20230319,20240318,grace,1888.23
55,2,1,20240807,20250807,renewed,2516.53
56,2,5,20240229,20250228,renewed,862.77
57,2,4,20241001,20251001,lapsed,1646.99
58,2,4,20230517,20240516,lapsed,1154.03
59,2,6,20240725,20250725,lapsed,5233.92
60,2,2,20240207,20250206,renewed,1797.63
61,2,2,20240904,20250904,renewed,4967.94
62,2,4,20240416,20250416,renewed,2612.91
63,2,1,20240617,20250617,renewed,2013.95
64,2,1,20230131,20240131,renewed,680.32
65,2,2,20230318,20240317,renewed,4116.22
66,2,4,20230527,20240526,renewed,1101.2
67,2,5,20230407,20240406,renewed,803.62
68,2,2,20231128,20241127,renewed,799.87
69,3,2,20240218,20250217,renewed,624.11
70,3,1,20230112,20240112,renewed,4865.26
71,3,6,20240705,20250705,renewed,4540.44
72,3,5,20240905,20250905,renewed,979.93
73,3,3,20240916,20250916,lapsed,1490.99
74,3,6,20240624,20250624,lapsed,6504.08
75,3,1,20230122,20240122,renewed,1492.44
76,3,1,20240114,20250113,renewed,1605.43
77,3,5,20230922,20240921,renewed,648.24
78,3,1,20230714,20240713,grace,4333.9
79,3,5,20240219,20250218,renewed,973.13
80,3,4,20240922,20250922,renewed,1033.93
81,3,3,20230525,20240524,renewed,349.33
82,3,6,20240805,20250805,renewed,5181.33
83,3,2,20241030,20251030,lapsed,4071.03
84,3,6,20230811,20240810,grace,6606.96
85,3,4,20230312,20240311,renewed,1525.48
86,3,1,20230808,20240807,lapsed,2252.18
87,3,4,20230114,20240114,lapsed,678.95
88,3,6,20240106,20250105,grace,5302.89
89,3,5,20240707,20250707,renewed,578.54
90,3,5,20240824,20250824,renewed,453.99
91,3,2,20230904,20240903,grace,4136.03
92,3,3,20240529,20250529,lapsed,544.48
93,3,5,20230205,20240205,renewed,793.54
94,3,2,20240814,20250814,lapsed,3218.13
95,3,6,20240314,20250314,renewed,4540.21
96,3,1,20240708,20250708,renewed,4699.47
97,3,1,20231228,20241227,lapsed,3296.02
98,3,3,20230418,20240417,renewed,1595.66
99,3,3,20231127,20241126,lapsed,2163.52
100,3,5,20230624,20240623,lapsed,283.01
101,3,5,20240619,20250619,renewed,313.64
102,3,5,20230110,20240110,renewed,349.13
103,3,2,20241121,20251121,lapsed,4861.26
104,3,3,20241025,20251025,renewed,1804.88
105,3,4,20240415,20250415,renewed,2718.49
106,3,6,20241025,20251025,lapsed,6058.36
107,3,2,20240505,20250505,renewed,3485.07
108,3,4,20231119,20241118,renewed,2653.63
109,3,5,20231231,20241230,renewed,1052.53
110,3,3,20240131,20250130,renewed,2442.77
111,3,5,20240119,20250118,lapsed,124.13
112,3,3,20240529,20250529,lapsed,376.85
113,3,6,20241011,20251011,renewed,1261.27
114,3,6,20230326,20240325,lapsed,1815.96
115,3,4,20240421,20250421,renewed,2872.98
116,3,5,20240809,20250809,lapsed,1187.08
117,3,2,20230429,20240428,renewed,2196.04
118,3,6,20230612,20240611,lapsed,5901.76
119,3,4,20230409,20240408,lapsed,1197.09
120,3,2,20230613,20240612,lapsed,3013.06
121,3,3,20231101,20241031,renewed,1425.78
122,3,3,20241022,20251022,renewed,2194.05
123,3,6,20230209,20240209,renewed,6453.44
124,3,4,20231219,20241218,lapsed,460.3
125,3,2,20240602,20250602,renewed,1971.09
126,3,3,20241030,20251030,lapsed,2779.36
127,3,6,20240925,20250925,lapsed,4279.7
128,3,3,20240626,20250626,lapsed,815.15
129,3,6,20240322,20250322,lapsed,7062.44
130,3,6,20231230,20241229,lapsed,4663.04
131,4,2,20240203,20250202,renewed,2644.99
132,4,1,20230329,20240328,renewed,448.45
133,4,3,20230219,20240219,renewed,922.93
134,4,1,20230510,20240509,lapsed,655.78
135,4,1,20240319,20250319,renewed,4369.22
136,4,1,20230502,20240501,grace,2235.31
137,4,3,20231001,20240930,renewed,575.17
138,4,3,20230703,20240702,lapsed,444.46
139,4,6,20230808,20240807,lapsed,6276.45
140,4,6,20241022,20251022,renewed,4180.29
141,4,2,20230131,20240131,renewed,2620.78
142,4,1,20240711,20250711,renewed,957.39
143,4,2,20240811,20250811,renewed,4704.01
144,4,2,20240909,20250909,grace,2991.18
145,4,5,20241102,20251102,renewed,161.66
146,4,3,20230819,20240818,renewed,420.94
147,4,6,20230129,20240129,renewed,7877.07
148,4,1,20241112,20251112,renewed,2784.97
149,4,6,20240407,20250407,renewed,7762.09
150,4,2,20231126,20241125,renewed,2600.66
151,4,3,20230629,20240628,renewed,1142.87
152,4,4,20240409,20250409,renewed,791.7
153,5,3,20240803,20250803,lapsed,2347.7
154,5,4,20230820,20240819,renewed,1781.72
155,5,5,20230129,20240129,renewed,505.36
156,5,2,20240406,20250406,renewed,3817.85
157,5,2,20240206,20250205,lapsed,1775.68
158,5,5,20230504,20240503,lapsed,280.63
159,5,2,20240413,20250413,renewed,3005.01
160,5,3,20241108,20251108,renewed,338.51
161,5,3,20230501,20240430,lapsed,900.6
162,5,4,20230403,20240402,renewed,1067.57
163,5,4,20240427,20250427,grace,2432.1
164,5,3,20241015,20251015,renewed,797.44
165,5,4,20230418,20240417,renewed,443.6
166,5,5,20240111,20250110,renewed,288.89
167,5,1,20231011,20241010,lapsed,2820.18
168,5,3,20230826,20240825,renewed,457.35
169,5,5,20240730,20250730,renewed,1184.33
170,5,1,20240707,20250707,lapsed,3190.88
171,5,4,20230626,20240625,renewed,2390.0
172,5,2,20230708,20240707,renewed,1037.57
173,5,5,20240729,20250729,renewed,558.05
174,5,5,20231216,20241215,renewed,734.75
175,5,6,20230809,20240808,lapsed,6692.18
176,5,1,20231204,20241203,renewed,3300.77
177,5,3,20241117,20251117,renewed,1494.54
178,5,5,20231201,20241130,lapsed,538.5
179,5,3,20230803,20240802,lapsed,805.31
