sale_id,date_key,agent_id,product_id,ape_usd,fyp_usd,policies_issued,sale_channel
2550,20250806,32,6,3690.03,4466.78,2,tied_agency
10511,20240326,129,4,2863.9,2614.03,2,tied_agency
7202,20240923,87,2,3491.01,3190.41,1,bancassurance
12932,20230904,161,4,898.09,1338.17,2,bancassurance
10875,20230727,133,2,1308.7,1193.45,2,tied_agency
10074,20251030,125,1,4882.66,6463.01,1,bancassurance
10240,20251024,126,2,3258.72,4696.49,1,bancassurance
14033,20230106,176,2,2823.34,3995.99,1,bancassurance
15188,20250502,9002,5,1054.92,1363.87,2,tied_agency
213,20230731,5,4,2037.31,2978.02,1,bancassurance
1108,20231213,19,3,1689.57,2132.07,2,tied_agency
10076,20251215,125,6,4674.12,5135.93,2,bancassurance
2083,20250101,9003,4,2002.65,2628.14,2,bancassurance
15843,20241217,195,3,2161.73,2081.77,1,bancassurance
2393,20251203,31,4,1590.41,2370.64,1,tied_agency
835,20230413,15,6,3540.6,4299.32,1,tied_agency
5216,20240612,64,6,5206.46,6057.88,1,tied_agency
10862,20230112,133,6,5634.63,7475.65,2,tied_agency
2914,20230821,37,4,713.06,1002.43,1,tied_agency
7068,20241010,85,3,2651.78,3873.09,2,tied_agency
3661,20230712,47,5,1192.9,1315.2,1,tied_agency
8988,20250318,111,4,560.5,604.25,1,bancassurance
4301,20230216,54,6,2476.93,3444.06,1,bancassurance
14907,20240424,184,5,1172.15,1228.96,1,bancassurance
335,20230310,8,6,7365.85,10527.93,1,bancassurance
109,20250203,3,6,7860.19,11544.6,2,tied_agency
9134,20251119,113,2,864.72,1183.45,2,tied_agency
2195,20231122,29,4,1489.98,1752.74,1,tied_agency
7205,20241218,9003,5,459.46,501.71,2,bancassurance
14696,20231006,183,4,2005.19,1951.04,1,tied_agency
11969,20250813,149,6,2266.46,2653.07,2,bancassurance
3001,20250207,37,1,2596.43,3661.35,1,tied_agency
16062,20250415,199,2,4628.61,6721.28,2,bancassurance
11294,20251210,138,2,2186.3,2201.78,2,tied_agency
9008,20230517,112,6,1625.52,1876.88,1,bancassurance
356,20231002,8,1,1901.18,1756.49,2,bancassurance
7829,20250428,96,2,2298.62,2266.97,2,tied_agency
7859,20251009,96,6,5284.52,5558.78,2,tied_agency
