agent_id,year,month,ape_target_usd
2,2023,1,1926.23
2,2023,2,2100.38
2,2023,3,2143.63
2,2023,4,1966.31
2,2023,5,2101.25
2,2023,6,1842.07
2,2023,7,1895.23
2,2023,8,1997.38
2,2023,9,1932.94
2,2023,10,1967.48
2,2023,11,2012.37
2,2023,12,1972.34
2,2024,1,2049.71
2,2024,2,1928.02
2,2024,3,2169.25
2,2024,4,2090.49
2,2024,5,1960.28
2,2024,6,2078.14
2,2024,7,1883.67
2,2024,8,2022.27
2,2024,9,2157.15
2,2024,10,2087.61
2,2024,11,1936.39
2,2024,12,2098.28
2,2025,1,1842.48
2,2025,2,1981.22
2,2025,3,1960.2
2,2025,4,1910.14
2,2025,5,1944.08
2,2025,6,2023.02
2,2025,7,1821.4
2,2025,8,1834.62
2,2025,9,2102.76
2,2025,10,2145.21
2,2025,11,2140.26
2,2025,12,1824.58
3,2023,1,764.83
3,2023,2,794.03
3,2023,3,728.61
3,2023,4,866.54
3,2023,5,764.48
3,2023,6,744.49
3,2023,7,813.35
3,2023,8,826.09
3,2023,9,833.98
3,2023,10,780.67
3,2023,11,860.64
3,2023,12,777.58
3,2024,1,730.98
3,2024,2,851.77
3,2024,3,812.6
3,2024,4,792.97
3,2024,5,770.8
3,2024,6,846.63
3,2024,7,838.58
3,2024,8,871.84
3,2024,9,790.96
3,2024,10,797.27
3,2024,11,781.65
3,2024,12,866.26
3,2025,1,789.34
3,2025,2,869.57
3,2025,3,774.64
3,2025,4,731.61
3,2025,5,830.38
3,2025,6,833.43
3,2025,7,861.39
3,2025,8,843.04
3,2025,9,725.07
3,2025,10,757.2
3,2025,11,795.51
3,2025,12,850.86
4,2023,1,1990.65
4,2023,2,1973.61
4,2023,3,1947.42
4,2023,4,1977.82
4,2023,5,1893.65
4,2023,6,1955.46
4,2023,7,1910.68
4,2023,8,2043.59
4,2023,9,2169.6
4,2023,10,1871.15
4,2023,11,1969.9
4,2023,12,2124.08
4,2024,1,2041.22
4,2024,2,2090.61
